,name,street_address,city,state,latitude,longitude,store_id
81,Benton Supercenter,17309 Interstate 30 S,Benton,AR,34.577533,-92.580065,91cd94cc-a8c0-4669-b44a-342e06943e9f
82,Springfield Supercenter,2825 N Kansas Expy,Springfield,MO,37.248775,-93.313985,33707340-5ecb-4b1d-a653-bd818c0354b0
83,Minden Supercenter,1379 Homer Rd,Minden,LA,32.6280728,-93.2511369,a768333b-0335-4987-892f-329c3e3c189a
84,Mountain Grove Supercenter,2100 N Main Ave,Mountain Grove,MO,37.150021,-92.259461,29692df5-ca1e-457b-950e-059906e1dd81
85,Aurora Supercenter,3020 S Elliott Ave,Aurora,MO,36.946462,-93.714993,7e56caa0-3b68-4c0f-afe0-38e36060d520
86,Camdenton Supercenter,94 Cecil St,Camdenton,MO,38.025748,-92.722992,ac5fe5aa-c27d-43b1-8c1b-62c0242f653f
87,Grove Supercenter,2115 S Main St,Grove,OK,36.5764748,-94.7656055,b9fc11dd-1c05-40f2-a96a-983c35d16f66
88,Covington Supercenter,201 Lanny Bridges Ave,Covington,TN,35.545844,-89.665294,27378aac-1c90-4f8b-a17c-39876d95ff27
89,Forrest City Supercenter,205 Deadrick Rd,Forrest City,AR,35.028039,-90.793582,9b2643fa-a0fe-4e0d-a6ce-61db44a29f60
90,Harrisonville Supercenter,1700 N State Route 291,Harrisonville,MO,38.666161,-94.369474,e20fc4c6-9b4e-4cbe-b550-46c492fe9b3d
91,Millington Supercenter,8445 Us Highway 51 N,Millington,TN,35.357703,-89.897647,9a1f8160-e36b-4b5e-8f99-0d19b60a0730
92,Desloge Supercenter,407 No. State St,Desloge,MO,37.883896,-90.513307,16a02828-b8f4-498b-a43f-84c2a106c028
93,Ripley Supercenter,628 Highway 51 N,Ripley,TN,35.760785,-89.543058,223e6979-dae5-459a-a821-b77e485542f2
94,Bastrop Supercenter,6091 Mer Rouge Rd,Bastrop,LA,32.775799,-91.870221,6f579406-5dac-4d40-baa3-bd3f302ec1f3
95,Union Supercenter,1445 E Central Ct,Union,MO,38.4344195,-90.9700946,4e4dad5c-a363-4b0d-b8d0-95f6f9147925
96,Bentonville Supercenter,406 S Walton Blvd,Bentonville,AR,36.368151,-94.224959,b52c6f46-fe69-46b4-a3dc-8f264526f002
97,Rolla Supercenter,500 S Bishop Ave,Rolla,MO,37.937606,-91.779138,7f93c557-da77-4419-943e-ce9ed7fcc7da
98,Stuttgart Supercenter,406 E 22nd St,Stuttgart,AR,34.477048,-91.549074,1c425a0a-6416-4024-89aa-afc1d0bdb810
99,Shawnee Supercenter,196 Shawnee Mall Dr,Shawnee,OK,35.386877,-96.921788,5f9a9a2b-4259-4f2e-8162-4d81b7b17d4e
100,Corinth Supercenter,2301 S Harper Rd,Corinth,MS,34.910046,-88.502016,16205cc7-67f0-42ca-b343-2380533ee12b
101,Milan Supercenter,15427 S First St,Milan,TN,35.876197,-88.748089,8d81af7d-d47d-49bb-b311-6d9476388644
102,Fulton Supercenter,1405 Middle Rd,Fulton,KY,36.51749,-88.900147,202de33f-ebd2-4a92-962c-560491b40063
103,Guthrie Supercenter,1608 S Division St,Guthrie,OK,35.862878,-97.42269,b9817333-1518-4827-8412-e44a23b08cad
104,Cameron Supercenter,2000 N Walnut St,Cameron,MO,39.758116,-94.231503,019999dd-7d91-463a-a49e-e9ef751e7162
105,Winter Garden Supercenter,16313 New Independence Parkway,Winter Garden,FL,28.476488,-81.629452,c030f83a-6bc2-4d7e-92ee-b82ab2cea8cb
106,Chanute Supercenter,2700 S Santa Fe Ave,Chanute,KS,37.65365,-95.450998,bf56d9bd-ad57-47bb-86a0-d9e0fce54d6e
107,Chickasha Supercenter,2001 S 1st St,Chickasha,OK,35.031027,-97.931081,cc394a66-678d-4238-b0b4-04172ca7e8fa
108,Starkville Supercenter,1010 Highway 12 W,Starkville,MS,33.444519,-88.851436,a82582c8-7cf3-42ac-8028-9e38cbfa67ad
109,Booneville Supercenter,300 Walmart Cir,Booneville,MS,34.677408,-88.56422,c76b3ec5-8be2-4e4d-9123-5b6970e35281
110,West Point Supercenter,5509 Highway 45 Alt S,West Point,MS,33.586655,-88.661913,369cd78d-da07-4734-82f7-62e94e32db31
111,Amory Supercenter,1515 Highway 278 E,Amory,MS,33.968526,-88.457017,41a85eea-f1c6-4ff5-9370-412d7f37e5f8
112,Vivian Store,929 S Pine St,Vivian,LA,32.857781,-93.986591,d795ab07-7f3a-4e49-83e6-0ec3a11fac5d
113,Okmulgee Supercenter,1800 S Wood Dr,Okmulgee,OK,35.605657,-95.964357,059fa9b8-f85a-4287-99d3-7dddc99b3bad
114,Batesville Supercenter,3150 Harrison St,Batesville,AR,35.762696,-91.614278,48f92e84-f067-4f93-926f-0477f8155c51
115,Broken Bow Store,501 S Park Dr,Broken Bow,OK,34.0223133,-94.7379574,368ac0eb-6d51-4953-86b9-a21cc15cef24
116,Martin Supercenter,134 Courtright Rd,Martin,TN,36.355005,-88.883642,4c44e00a-d906-4123-8ade-dabbf793cc9b
117,Jackson Supercenter,3051 E Jackson Blvd,Jackson,MO,37.362068,-89.634627,81c1fd0c-de99-4070-b17e-a473c006daee
118,Humboldt Supercenter,2716 N Central Ave,Humboldt,TN,35.840815,-88.911782,353b21bb-3516-48b4-a828-11be7400fcb5
119,Little Rock Supercenter,8801 Baseline Rd,Little Rock,AR,34.667147,-92.377089,ec33dc27-6579-4f1b-8654-71b4984918cb
120,Malvern Supercenter,1910 Martin Luther King Blvd,Malvern,AR,34.3907358,-92.8327356,4227330a-2997-4817-972a-07a4599db434
121,Jonesboro Supercenter,1911 W Parker Rd,Jonesboro,AR,35.815748,-90.734426,1f5d6b1a-ba27-48c4-9558-84c35dcb5e5f
